FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10 y.null y
HG00096 HG00096 -0.0130518 0.0254875 0.0085914 -0.0210636 -0.000675715 0.00125782 0.0074883 0.00511651 -0.0169574 -0.00020494 0.684199544214585 2.67501100774264
HG00097 HG00097 -0.0133323 0.0260338 0.00859449 -0.020938 -0.00190167 -0.000573146 0.00896155 0.00641085 -0.0208387 0.00141794 -0.858228378115924 1.32064112074873
HG00099 HG00099 -0.0133305 0.0258001 0.00816893 -0.0199061 -0.00153375 -0.000448268 0.0108406 0.00872221 -0.0219404 0.000404173 -1.49553566441754 1.74577208179193
HG00100 HG00100 -0.0128747 0.0263868 0.0086036 -0.021401 -0.000450285 0.00276914 0.00515581 0.00467373 -0.00955668 -0.00114661 -0.625815500021023 -0.0586037683503855
HG00101 HG00101 -0.0131828 0.0259547 0.00859958 -0.0212562 -0.0016484 2.52028e-05 0.00918418 0.00896408 -0.0208809 0.000985772 -0.918972050418514 -7.46792800041078
HG00102 HG00102 -0.0134004 0.0258694 0.00865232 -0.020789 -0.000884193 0.00122259 0.0111993 0.00904475 -0.01979 0.00185091 -0.567447796004003 -1.64460393584693
HG00103 HG00103 -0.013127 0.0252235 0.00843074 -0.0196769 -0.000222962 0.000248366 0.00723837 0.00565814 -0.0170684 0.000109499 1.23301307656759 1.7769837670764
HG00105 HG00105 -0.0132051 0.0253692 0.00813119 -0.0199288 -0.00137665 -0.000557292 0.00833535 0.00698211 -0.0214321 0.00288379 -0.716423104346769 -9.62265744024381
HG00106 HG00106 -0.0133867 0.0261403 0.00768991 -0.0199791 -0.00155756 -0.000458646 0.00763894 0.00480748 -0.0173226 -0.000348776 -0.228210011986594 -9.32644657194804
HG00107 HG00107 -0.0133406 0.0261968 0.00933262 -0.0205671 -0.00206457 -0.000669445 0.0115802 0.00992218 -0.0192172 0.00156704 -0.678861386324591 6.45857388603031
